,ExpectedReturn,ConfIntLow,ConfIntHigh,SharpeRatio,TrueReturn,Error,InConfInt,WasOpened,WasSuccessful
1,5.85,2.33,9.15,1.9599454512069505,4.58,-1.2699999999999996,True,True,True
2,5.62,2.8,8.6,2.2427864852654857,2.72,-2.9,False,True,True
3,4.44,2.02,7.07,1.9188357785624166,3.09,-1.3500000000000005,True,True,True
4,4.19,1.15,7.15,1.3899436225222048,3.75,-0.4400000000000004,True,True,True
5,4.17,1.48,6.96,1.6010335691675308,4.15,-0.019999999999999574,True,True,True
6,3.67,-2.61,8.51,0.6624183112539457,-4.1,-7.77,False,False,False
7,5.04,-1.85,11.45,0.8859739890265228,5.7,0.6600000000000001,True,False,False
8,6.02,-4.02,18.61,0.6667439215390708,-1.08,-7.1,True,False,False
9,6.08,-2.41,13.95,0.9528895878889292,-2.67,-8.75,False,False,False
10,4.36,-1.71,10.12,0.79979329173348,9.83,5.47,True,False,False
11,3.81,0.9,6.58,1.278234732128896,6.58,2.77,True,False,False
12,5.85,3.38,8.99,2.3745992768139668,3.55,-2.3,True,True,True
13,4.55,2.2,7.58,1.76951406379418,4.63,0.08000000000000007,True,True,True
14,6.61,1.83,11.59,1.5447712676339287,9.66,3.05,True,True,True
15,7.37,2.1,12.93,1.4345023788301319,5.19,-2.1799999999999997,True,True,True
16,8.97,4.66,12.92,2.118395249555561,9.51,0.5399999999999991,True,True,True
17,8.39,5.52,12.22,3.072576279324134,7.71,-0.6800000000000006,True,True,True
18,11.25,8.83,13.41,4.817542753704066,11.6,0.34999999999999964,True,True,True
19,7.76,5.76,10.08,4.5733208703650945,7.91,0.15000000000000036,True,True,True
20,8.12,6.0,10.38,4.66600808932734,6.49,-1.629999999999999,True,True,True
21,6.94,4.59,9.48,3.285891393288566,5.05,-1.8900000000000006,True,True,True
22,6.57,2.77,9.54,2.3331346328758524,7.84,1.2699999999999996,True,True,True
23,7.29,2.21,12.12,1.8304926532017793,0.77,-6.52,False,True,False
24,5.89,1.59,9.79,1.6721905191096051,6.63,0.7400000000000002,True,True,True
25,4.95,1.39,9.05,1.4151945586639827,5.87,0.9199999999999999,True,True,True
26,5.47,2.43,9.37,1.9618322223771312,0.25,-5.22,False,True,False
27,6.36,1.2,11.16,1.6011858744925018,9.6,3.2399999999999993,True,True,True
28,6.5,-0.45,11.65,1.4258490806054833,-1.27,-7.77,False,False,False
29,7.6,-1.87,16.69,1.0506418642702091,18.62,11.020000000000001,False,False,False
30,6.25,-1.64,11.97,1.0522593993763003,8.58,2.33,True,False,False
31,7.09,0.5,12.98,1.392278186242934,4.38,-2.71,True,False,False
32,4.77,3.17,6.6,3.075805691170049,3.28,-1.4899999999999998,True,True,True
