,ExpectedReturn,ConfIntLow,ConfIntHigh,SharpeRatio,TrueReturn,Error,InConfInt
2016-12-18,2.41,-4.28,7.64,0.54490997715426,7.64,5.2299999999999995,True
2017-01-08,2.38,-3.1,7.27,0.5784789485886838,-1.09,-3.4699999999999998,True
2017-01-29,1.79,-3.29,6.47,0.40772617985343734,-1.57,-3.3600000000000003,True
2017-02-19,1.35,-2.57,7.64,0.30895366698565324,-0.9,-2.25,True
2017-03-12,1.48,-2.26,5.55,0.424806677241637,0.59,-0.89,True
2017-04-02,1.27,-1.47,6.22,0.38112489717845605,-0.83,-2.1,True
2017-04-23,1.0,-1.46,3.33,0.4350631780863394,-1.48,-2.48,False
2017-05-14,1.04,-1.67,4.52,0.3390585041315395,4.1,3.0599999999999996,True
2017-06-04,0.57,-1.79,3.84,0.12554019000938044,-0.27,-0.84,True
2017-06-25,0.62,-1.79,3.84,0.1553951874594973,-1.15,-1.77,True
2017-07-16,,,,,,,False
2017-08-06,0.67,-3.93,6.63,0.10834436433926535,1.94,1.27,True
2017-08-27,,,,,,,False
2017-09-17,0.56,-3.33,5.5,0.08299492478703639,1.51,0.95,True
2017-10-08,,,,,,,False
2017-10-29,1.01,-2.6,5.43,0.2796208256772136,2.59,1.5799999999999998,True
2017-11-19,0.66,-1.51,3.39,0.22997155281808487,-1.46,-2.12,True
2017-12-10,,,,,,,False
2017-12-31,,,,,,,False
2018-01-21,0.82,-3.14,3.75,0.2079104918734,3.08,2.2600000000000002,True
2018-02-11,,,,,,,False
2018-03-04,,,,,,,False
2018-03-25,0.57,-4.31,4.63,0.07680250960071135,-1.72,-2.29,True
2018-04-15,,,,,,,False
2018-05-06,,,,,,,False
2018-05-27,0.5,-4.32,5.39,0.04996520854350882,3.41,2.91,True
2018-06-17,0.92,-6.51,7.31,0.13143581038057686,1.3,0.38,True
2018-07-08,1.49,-2.55,6.26,0.4209643828982916,1.11,-0.3799999999999999,True
