,ExpectedReturn,ConfIntLow,ConfIntHigh,SharpeRatio,TrueReturn,Error,InConfInt
2018-03-31,5.71,2.14,9.87,1.5521221603426705,-0.71,-6.42,False
2018-07-31,5.17,1.05,9.33,1.282295816761073,9.0,3.83,True
2018-11-30,4.96,-4.33,13.87,0.5556411900140713,-3.77,-8.73,True
2019-03-31,4.66,-10.44,18.21,0.3051055626380431,9.2,4.539999999999999,True
2019-07-31,5.36,-2.59,12.69,0.681741420825577,4.48,-0.8799999999999999,True
2019-11-30,6.89,1.18,13.41,1.3360883957307008,5.28,-1.6099999999999994,True
2020-03-31,5.75,-0.08,12.84,0.9893661678703152,7.17,1.42,True
2020-07-31,9.31,4.14,15.87,1.8795446756918959,8.92,-0.39000000000000057,True
2020-11-30,10.06,4.21,16.47,1.7317270652720336,9.47,-0.5899999999999999,True
2021-03-31,9.17,3.94,15.53,1.5067504082124354,9.77,0.5999999999999996,True
2021-07-31,7.44,4.18,11.21,2.3889000826030014,5.44,-2.0,True
2021-11-30,9.53,6.55,12.22,4.21046806971116,4.76,-4.77,False
2022-03-31,9.1,5.81,12.74,3.372563595586097,9.29,0.1899999999999995,True
2022-07-31,7.99,4.6,11.43,2.729821853892999,6.54,-1.4500000000000002,True
2022-11-30,7.49,3.09,11.51,2.1428517055779377,4.67,-2.8200000000000003,True
2023-03-31,7.22,3.57,10.75,2.3007903182053604,4.53,-2.6899999999999995,True
2023-07-31,4.97,0.62,8.61,1.1762686556019524,5.76,0.79,True
2023-11-30,4.55,0.13,8.59,0.9714494989193388,0.03,-4.52,False
2024-03-31,6.91,-1.01,15.11,0.9228517142594829,14.54,7.629999999999999,True
2024-07-31,9.92,2.62,17.84,1.7208254693073755,2.62,-7.3,True
