,ExpectedReturn,ConfIntLow,ConfIntHigh,SharpeRatio,TrueReturn,Error,InConfInt,Freq,LenTrain,StartTest
0,4.28,1.06,7.97,1.3675197466754268,1.5,-2.78,True,1M,1,2016-09-30
1,3.23,0.88,4.75,1.951575372276681,0.85,-2.38,False,1M,1,2016-10-31
2,3.82,1.85,5.32,2.4499357531088357,4.6,0.7799999999999998,True,1M,1,2016-11-30
3,6.51,5.49,7.58,6.317600216339021,4.61,-1.8999999999999997,False,1M,1,2016-12-31
4,0.91,-0.2,2.08,0.4011990359149573,-0.61,-1.52,False,1M,1,2017-01-31
5,2.73,1.28,4.87,2.1617108200294304,3.12,0.3900000000000001,True,1M,1,2017-02-28
6,3.36,2.57,4.26,3.612318262976338,1.19,-2.17,False,1M,1,2017-03-31
7,1.39,0.24,1.97,1.2153522418396705,1.71,0.32,True,1M,1,2017-04-30
8,2.0,1.21,2.93,2.11344964937193,1.64,-0.3600000000000001,True,1M,1,2017-05-31
9,2.53,1.36,4.05,1.464520760727209,2.18,-0.3499999999999996,True,1M,1,2017-06-30
10,2.0,1.38,2.89,1.8601399986156384,0.43,-1.57,False,1M,1,2017-07-31
11,1.76,1.14,2.7,1.7725662879823143,0.64,-1.12,False,1M,1,2017-08-31
12,2.4,1.17,3.55,1.869671838307688,2.56,0.1600000000000001,True,1M,1,2017-09-30
13,4.2,3.42,5.03,5.039768198707442,4.46,0.2599999999999998,True,1M,1,2017-10-31
14,2.72,0.87,3.9,1.7702191842560238,0.08,-2.64,False,1M,1,2017-11-30
15,2.13,0.46,3.36,1.5190337013615152,0.46,-1.67,True,1M,1,2017-12-31
16,3.93,2.33,5.53,3.03586870366178,4.06,0.1299999999999994,True,1M,1,2018-01-31
17,1.14,-0.03,1.91,0.6535220032826683,-0.22,-1.36,False,1M,1,2018-02-28
18,2.2,1.19,3.41,1.717768055116036,1.19,-1.0100000000000002,True,1M,1,2018-03-31
